10, 80, 2, Pyr, Bask, NMDA
81, 82, 10, Bask, Bask, gap
81, 83, 10, Bask, Bask, gap
82, 83, 10, Bask, Bask, gap
82, 84, 10, Bask, Bask, gap
83, 84, 10, Bask, Bask, gap
83, 85, 10, Bask, Bask, gap
84, 85, 10, Bask, Bask, gap
84, 86, 10, Bask, Bask, gap
85, 86, 10, Bask, Bask, gap
85, 87, 10, Bask, Bask, gap
86, 87, 10, Bask, Bask, gap
86, 88, 10, Bask, Bask, gap
87, 88, 10, Bask, Bask, gap
87, 89, 10, Bask, Bask, gap
88, 89, 10, Bask, Bask, gap
88, 90, 10, Bask, Bask, gap
89, 90, 10, Bask, Bask, gap
89, 91, 10, Bask, Bask, gap
90, 91, 10, Bask, Bask, gap
90, 92, 10, Bask, Bask, gap
91, 92, 10, Bask, Bask, gap
91, 93, 10, Bask, Bask, gap
92, 93, 10, Bask, Bask, gap
92, 94, 10, Bask, Bask, gap
93, 94, 10, Bask, Bask, gap
93, 95, 10, Bask, Bask, gap
94, 95, 10, Bask, Bask, gap
94, 96, 10, Bask, Bask, gap
95, 96, 10, Bask, Bask, gap
95, 97, 10, Bask, Bask, gap
96, 97, 10, Bask, Bask, gap
96, 98, 10, Bask, Bask, gap
97, 98, 10, Bask, Bask, gap
97, 99, 10, Bask, Bask, gap
98, 99, 10, Bask, Bask, gap
98, 80, 10, Bask, Bask, gap
99, 80, 10, Bask, Bask, gap
99, 81, 10, Bask, Bask, gap
